451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
111148	5900910000372	LA FESTA Cappuccino шоколад. растворимый 10шт(Маспекс):8	Кофе, какао	Кофе	Кофе растворимый пакетированный	Кофе многопорционный
111354	3083680015394	BONDUELLE Кукуруза ж/б 212мл :12	Консервированные продукты	Консервы овощные и грибные	Кукуруза	Кукуруза
110451	7790060030224	IDEAL Масло подсолнечное рафинированное дезодор 1 сорт 1л:15	Бакалея	Растительные масла	Подсолнечное масло	Рафинированное подсолнечное масло
110450	4607083550482	ОЛЕЙНА Масло подсолн.1л:15	Бакалея	Растительные масла	Подсолнечное масло	Рафинированное подсолнечное масло
110476	8410179100036	BORGES Оливковое масло EV 0,5л с/б (Асеитес BORGES):6	Бакалея	Растительные масла	Оливковое масло	Нерафинированное оливковое масло
110477	8410179200828	BORGES Оливковое масло 100% 0,5л с/б (Асеитес BORGES) :6	Бакалея	Растительные масла	Оливковое масло	Рафинированное оливковое масло
110481	-	СЛОБОДА Масло подсол. раф.1л:12	Бакалея	Растительные масла	Подсолнечное масло	Рафинированное подсолнечное масло
111196	4607157730529	ТEМА Пюре говядина рис 100г(ЮниМилк):12	Детское питание	Не молочное детское питание	Мясосодержащие консервы детские	Мясосодержащие консервы детские
110484	8410179100043	BORGES Оливковое масло EV0,75л с/б(Асеитес BORGES) :6	Бакалея	Растительные масла	Оливковое масло	Нерафинированное оливковое масло
110807	4607017211533	J7 Сок апельсин 0,2л:27	Безалкогольные напитки	Соковая продукция	Соки и нектары	Соки и нектары до 0,5л
111204	-	BONDUELLE Фасоль белая 400/420г :12	Консервированные продукты	Консервы овощные и грибные	Фасоль	Фасоль натуральная
111206	3083680002875	BONDUELLE Кукуруза ж/б 340г(Бондюэль-Кубань):12	Консервированные продукты	Консервы овощные и грибные	Кукуруза	Кукуруза
111216	4605460003927	ЭКОПРОДУКТ Грибы марин. Опята 340г(ЭКОПРОДУКТ):12	Консервированные продукты	Консервы овощные и грибные	Грибные консервы	Маринованные грибы
111509	8693911003165	ПОМИДОРКА Паста Томатная 770г :12	Консервированные продукты	Консервы овощные и грибные	Томатная паста	Томатная паста
111522	3083680090742	BONDUELLE Фасоль чили 425мл(Бондюэль):12	Консервированные продукты	Консервы овощные и грибные	Фасоль	Фасоль в томатном соусе
111527	3083680483407	BONDUELLE Фасоль белая в т/с 425мл(Бондюэль):12	Консервированные продукты	Консервы овощные и грибные	Фасоль	Фасоль в томатном соусе
111533	8594001691449	HAME Паштет из гусинной печени 117 г ж/б(ХАМЕ ФУДС):10	Консервированные продукты	Консервы мясные	Паштеты консервированные	Паштеты консервированные
110842	4601248010194	ВИКО Сок апельсиновый 1л:12	Безалкогольные напитки	Соковая продукция	Соки и нектары	Соки и нектары более 0,5л и до 1,5л
110854	4601248000027	ВИКО Сок апельсиновый 0,2л:24	Безалкогольные напитки	Соковая продукция	Соки и нектары	Соки и нектары до 0,5л
110860	4601248010118	ВИКО Сок яблоч зел 1л:12	Безалкогольные напитки	Соковая продукция	Соки и нектары	Соки и нектары более 0,5л и до 1,5л
111241	3083680048774	BONDUELLE Горошек зеленый ж/б с кл 400г :12	Консервированные продукты	Консервы овощные и грибные	Горошек	Горошек
111242	3083680009508	BONDUELLE Фасоль красная 425мл(Бондюэль):12	Консервированные продукты	Консервы овощные и грибные	Фасоль	Фасоль натуральная
111269	8428916010104	ACORSA Оливки черные б/к 425мл ж/б:12	Консервированные продукты	Консервы овощные и грибные	Оливки, маслины	Маслины без косточки
111272	8428916000303	ACORSA Маслины с/к 425мл ж/б:12	Консервированные продукты	Консервы овощные и грибные	Оливки, маслины	Маслины с косточкой
110891	4601248010101	ВИКО Нектар персиков 1л:12	Безалкогольные напитки	Соковая продукция	Соки и нектары	Соки и нектары более 0,5л и до 1,5л
288047	4630000491032	Пирожное Пончо 0,15кг пл/ст(ОООМетрополис)	Мучные кондитерские изделия	Мучные кондитерские изделия (охл)	Пирожные	Пирожные
109862	9000100453530	ПЕМОЛЮКС Чистящ.ср-во Морской бриз 0,4кг (Хенкель) :36	Бытовая химия	Средства для уборки	Чистящие средства	Абразивные чистящие порошки
109863	9000100453448	ПЕМОЛЮКС Чистящ.ср-во Лимон 0,4кг (Хенкель) :36	Бытовая химия	Средства для уборки	Чистящие средства	Абразивные чистящие порошки
109719	4601347000775	ШОКОЛАДНИЦА Торт вафельный 270г(Коломенское) :20	Мучные кондитерские изделия	Мучные кондитерские изделия	Торты	Торты
109881	-	МОМЕНТ-1 клей 50г:40	Промышленные товары	Сделай сам	Строительная химия	Клеи
109908	4600104008931	СЕКУНДА Ср-во для чистки стекол 200мл (Арнест) :24	Бытовая химия	Средства для уборки	Чистящие средства	Чистящие средства для мытья стекол
109744	-	VANISH пятновывод. жидкий 1л д/цветн.(Бенкизер):12	Бытовая химия	Средства для стирки	Пятновыводители	Пятновыводители
399269	8906008845020	МОСКОФЕ Московский Кофе пор мет/пак 100г:24	Кофе, какао	Кофе	Кофе растворимый	Кофе порошковый
111836	7622300254650	ВОЗДУШНЫЙ шок.молочный 95-100гр:20	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад молочный
111837	7622300254735	ВОЗДУШНЫЙ Шоколад белый 95гр:20	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад белый
112239	4602112101734	ПЕЧЕМ ДОМА крем заварной Ванильный 120г (РУСПРОД):15/60	Бакалея	Ингредиенты для готовки	Украшения для выпечки	Крем
111794	46035134	MENTOS Драже ФРУКТОВЫЙ 37г(Ван Мелле):20/320	Кондитерские изделия	Современные кондитерские изделия	Драже	Драже функциональное
111797	4011100091108	MARS 50г(MARS):36/288	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
111802	-	MILKYWAY Батончик 26г:36/180	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
203662	4607001771364	JACOBS Monarch Кофе субл. м\у 190г :29	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112039	8593893413580	БОН ПАРИ Суфле 90г(Нестле):12	Кондитерские изделия	Плодово-ягодные кондитерские изделия	Плодово-ягодные кондитерские изделия	Суфле
112040	8593893413603	БОН ПАРИ Мармелад жев. МЕДВЕДИ 75г(Нестле):15	Кондитерские изделия	Современные кондитерские изделия	Мармелад жевательный	Мармелад жевательный
112052	46025227	РОССИЙСКИЙ Шоколад темный 25г(Нестле):30/600	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад темный, горький
323836	4605966001144	TAFT Senso-Touch Пена д/в Ультр св.сил ф.150мл(Шварцкопф):20	Уход и гигиена	Средства по уходу за волосами	Средства для укладки и стайлинга волос	Пена(мусс), жидкость для укладки волос
112525	054881008594	AHMAD TEA EarlGrey Чай черный с аромом берг.100г(Ахмад):40	Чай	Черный чай	Черный чай байховый ароматизированный	Черный чай байховый аромат с бергамотом
111857	8000500069271	KINDER-Сюрприз :24	Кондитерские изделия	Современные кондитерские изделия	Шоколад фигурный	Шоколадные яйца
112541	4606272002283	NESCAFE Gold Ergos Кофе ст/б 95г: 12	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112542	4606272002269	NESCAFE Gold Ergos Кофе ст/б 190г: 6	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112543	46024756	NESCAFE Gold Кофе Эргос раств 47,5г ст/б(Нестле):12	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112550	4607085440118	NESCAFE Classic Кофе Нов.Ар.ж/б250г:6	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112554	4607085440187	NESCAFE Classic Кофе ст.б 95г:12	Кофе, какао	Кофе	Кофе растворимый	Кофе сублимированный
112633	5900910001256	LA FESTA Cappuccino классик растворимый 10шт (Маспекс):8	Кофе, какао	Кофе	Кофе растворимый пакетированный	Кофе многопорционный
112649	4600384006634	NESQUIK Какао пласт.уп вит.250г:12	Кофе, какао	Какао, горячий шоколад	Какао	Какао напиток
207421	-	НАЦИОНАЛЬ Пшено фас. 900г м/уп (Ангстрем Трейдинг):8	Бакалея	Крупы, бобовые	Пшено	Пшено рассыпное
106790	4600076113404	Коньяк Российск Дербент КВ выдерж 40%0,5л(Дербентский КК):6	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	Более 5 лет
164444	7930064260108	САЛАТ листовой свеж (цена за шт) :10	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Салат	Салаты листовые
112702	4607026340149	Рос Шамп Абрау-Дюрсо белое п/сл 0,75л (Абрау-Дюрсо):6	Вино	Вина игристые	Вина игристые белые полусладкие	Россия/Крым вина игристые белые полусладкие
112723	4600682011903	БАЛТИКА №9 Пиво 0,5л с/б:20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
112724	4600682000037	БАЛТИКА №3 Пиво 0,5л с/б :20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
164445	4640014240175	КИНЗА свеж(кориандр) (цена за шт):6	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Зелень	Кинза
112746	4600068001931	ОЧАКОВО Пиво Ячменный колос 1,5л:6	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
112757	4600682301127	НЕВСКОЕ Пиво светлое ж/б 0,5л :24	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
112781	4600682012900	БАЛТИКА №9 КРЕПКОЕ пиво 0,5л ж/б (Балтика) :24	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
112782	4600682011002	БАЛТИКА №0 Безалкогольное пиво 0,5л с/б(Балтика):20	Слабоалкогольные напитки	Пиво	Пиво безалкогольное	Пиво безалкогольное
275249	2368261	Вареники карт 1кг (в) (ИП Лиженин):5	Замороженная продукция	Замороженные полуфабрикаты	Замороженные вареники	Замороженные вареники несладкие
113193	4011100977808	KITEKAT Kорм д/кош говядина консервы 400-410г (Марс) :24	Продукция для животных	Корма для кошек	Влажные корма для кошек и котят	Влажные корма для взрослых кошек
112886	4605406010101	Водка Фортуна 40% 0,5л (Фортуна ЛВЗ) :20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
113198	5000159373272	WHISKAS Корм д/кош рагу говядина/ягненок 100г(Марс):24	Продукция для животных	Корма для кошек	Влажные корма для кошек и котят	Влажные корма для взрослых кошек
112957	8000570004349	Вермут Мартини Бьянко бел слад 1л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные белые	Вина ароматизированные белые
112958	8000570004363	Вермут Мартини Бьянко бел слад 0,5л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные белые	Вина ароматизированные белые
152815	4606338000048	4 СЕЗОНА Овощи для жарки с шамп.400г (Западный ХК ООО):20	Замороженная продукция	Замороженные овощи	Замороженные овощные смеси	Замороженные овощные смеси
109777	5903267000415	TIRET Гель для чистки труб 500мл (Бенкизер):6	Бытовая химия	Средства для сантехники	Средства для прочистки труб и стоков	Средства для прочистки труб и стоков
112985	4605664000517	ЗОЛОТАЯ БОЧКА пиво светлое с/б 0,5л :20(Москва-Эфес)	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
112987	4600721003524	STAROPRAMEN Пиво 0,5л с/б (САН ИнБев):20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
152816	4606338000086	4 СЕЗОНА Фасоль зеленая 400г (Западный ХК ООО) :20	Замороженная продукция	Замороженные овощи	Замороженные моноовощи	Замороженная фасоль
113333	-	Крупа Пшеничная фас.800г.:6	Бакалея	Крупы, бобовые	Пшеничная крупа	Пшеничная крупа рассыпная
113334	4607028780301	Крупа Геркулес фас 400г :6	Бакалея	Зерновые для завтраков	Хлопья	Хлопья овсяные
288008	4602950180120	Хлеб Белый из муки в/с 0,5кг (Липецкхлебмакаронпром) :16	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой
355411	4607012935663	ВЕСЕЛЫЙ МОЛОЧНИК Напит сыв с соком ан ман мар475г TR(ВБД):10	Молочная продукция	Кисломолочные современные продукты	Сывороточные напитки	Сывороточные напитки
109357	4630011580640	Сардина в масле 160г:72	Консервированные продукты	Консервы рыбные	Консервы рыбные с добавлением масла	Консервы сельдевые с добавлением масла
399279	2375862	Путассу с/м уп (вес):6	Рыба	Рыба и морепродукты замороженные	Рыба замороженная	Рыба замороженная белых видов неразделанная
163282	5011013525607	Ликер Бейлис слив. Оригинальный 0,35л (Ирландия):12	Крепкий алкоголь	Ликеры	Ликеры	Ликеры сливочные
351591	4606007010910	Ползунки дет. на резинке арт.0301К ДАМОНТ :5/50	Промышленные товары	Товары для новорожденных	Одежда для новорожденных до 1 года	Ползунки
158200	2030621601056	Чеснок свеж. 3шт (цена за 1 уп.)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Чеснок	Чеснок
113138	2353703	Арахис в скорлупе(в):7	Снэки	Орехи и сухофрукты (вес)	Орехи (вес)	Арахис (вес)
113144	4610019090662	Сахар белый кристаллический фас 1кг :6	Бакалея	Сахар	Сахар-песок	Сахар-песок белый
113145	4606631340155	СЕЛЬСКАЯ ЯРМАРКА Мука пшеничная 2кг(ТД-холдинг):6	Бакалея	Мука и мучные смеси	Мука пшеничная	Мука пшеничная
113147	4607004240911	Крупа Перловая фас 800г:6	Бакалея	Крупы, бобовые	Перловая крупа	Перловая крупа рассыпная
113148	4607091972634	Крупа Кукурузная фас 800г :6	Бакалея	Крупы, бобовые	Кукуруза	Кукуруза рассыпная
113150	4607065082215	Крупа Манная фас 800г :6	Бакалея	Крупы, бобовые	Манная крупа	Манная крупа
113152	4665270951535	Крупа Пшено 1С фас 800г :6	Бакалея	Крупы, бобовые	Пшено	Пшено рассыпное
113153	4603931001410	Крупа Горох фас 800г:6	Бакалея	Крупы, бобовые	Горох	Горох рассыпной
113459	4601240000155	ДИВИДИК-КЛАССИК Черн.губка д/об(Арнест):10/40	Бытовая химия	Уход за одеждой и обувью	Уход за обувью	Губки для обуви
113461	4601240000056	ДИВИДИК-КЛАССИК Бесцв.губка д/об(Арнест):10/40	Бытовая химия	Уход за одеждой и обувью	Уход за обувью	Губки для обуви
171832	4607128421364	Хлеб Дарницкий 0,7кг упак (ОАО Котовскхлеб)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
113480	5000394115965	DURACELL Basic Батарейки MN1500 AA 2 шт(Дюраселл Раша):12/48	Промышленные товары	Элементы питания	Батарейки	Батарейки АА
288007	4602950180083	Хлеб Столовый 0,65кг (Липецкхлебмакаронпром)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
207965	-	Грибы Шампиньоны свеж. 0,45кг подл. :10	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Грибы	Шампиньоны
111660	4600384011607	Шоколад Кофе с Молоком 100г(Нестле):20/120	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад молочный
111663	46005830	NESQUIK Батончик 28г:36/288	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
399280	2375863	Мойва с/м уп (вес):9	Рыба	Рыба и морепродукты замороженные	Рыба замороженная	Рыба замороженная белых видов неразделанная
239225	2329030	Черешня свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Черешня, вишня	Черешня
112332	4606631340162	СЫТАЯ УЛЫБКА Перец чер.мол.20гр:100	Бакалея	Пряности	Перец	Перец черный молотый
241853	4600993000016	ТEМА Пюре дет говядина 100гр(Юнимилк):28	Детское питание	Не молочное детское питание	Мясосодержащие консервы детские	Мясосодержащие консервы детские
111666	4600384017708	NESQUIK Шоколад с мол. нач. 100г(Нестле):20	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад детский
112143	4601339001018	MAGGI Букет Приправ 75г:22	Бакалея	Пряности	Искусственные пряности	Искусственные пряности
112151	4601339001087	MAGGI Суп звездочки 54г ш/б:22	Бакалея	Сухие блюда быстрого приготовления	Первые блюда	Супы, требующие варки
112408	4605246001192	ПРИНЦЕССА ЯВА Чай лист.зел.Экономи трад.100г:120	Чай	Зеленый чай	Зеленый чай байховый классический	Чай зеленый байховый классический
111712	4600375041897	ЮБИЛЕЙНОЕ Печенье вит. молочное 126гр(Крафт Фудс Рус) :60	Мучные кондитерские изделия	Мучные кондитерские изделия	Печенье	Печенье сахарное
111715	4600375041934	ЮБИЛЕЙНОЕ Печенье с темной глазурью 130г(Крафт Фудс Рус):60	Мучные кондитерские изделия	Мучные кондитерские изделия	Печенье	Печенье сахарное
111718	4600375041958	ЮБИЛЕЙНОЕ Печенье молочной с глазурью 130г(Большевик) :60	Мучные кондитерские изделия	Мучные кондитерские изделия	Печенье	Печенье сахарное
111733	4600823030091	БАБАЕВСКИЙ Шоколад с пом-слив нач 50г(Б):20/120	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
181236	4660001130036	Водка Славянская ржаная 40% 0,5л (Россия):12	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
112455	4605246002229	ПРИНЦЕССА ЯВА Чай зеленый 25пак*2г к/уп (ОримиТрейд):72	Чай	Зеленый чай	Зеленый чай пакетированный классический	Чай зеленый пакетированный классический
111769	4600416008711	ФРУ-ФРУ Мармелад жев. АССОРТИ ТРУБОЧКА 35г(Эврика):12/144	Кондитерские изделия	Современные кондитерские изделия	Мармелад жевательный	Мармелад жевательный
158201	2360959	Мандарины с листочками цена за кг:9	Свежие фрукты и овощи	Свежие плоды и ягоды	Мандарины	Мандарины
114999	2310225	Окорочка цыплят кур в/к (в) в/у (М.Холодцов):9	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености мясокостные из частей птицы
115007	-	Колбаса Дарницкая вар 0,4кг п/ам (М Холодцов)	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
115063	-	АКТИВИА Мюсли персик 125г(Данон)	Молочная продукция	Йогурты	Йогурты вязкие	Вязкие пастеризованные йогурты
115100	4603421200651	МОРОЗКО Блины с клубнич. повидлом 420г к/уп (Морозко):12	Замороженная продукция	Замороженные полуфабрикаты	Замороженные блины	Замороженные блины сладкие
110897	4630000370054	Скумбрия с д/м 240-250г:24	Консервированные продукты	Консервы рыбные	Консервы рыбные с добавлением масла	Консервы скумбриевые с добавлением масла
115191	4600494000140	PEPSI Light Напиток газированный 1,25л пл/бут(Пепси):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
167883	9771606876054	Журнал Лиза Кроссворды	Промышленные товары	Периодика	Журналы	Кроссворды
111095	24606180010718	Сардинелла нат. с д/м 240-250г:48	Консервированные продукты	Консервы рыбные	Консервы рыбные с добавлением масла	Консервы сельдевые с добавлением масла
111096	4631136341246	Сардина нат. с д/м рыб/к240-250г:48	Консервированные продукты	Консервы рыбные	Консервы рыбные с добавлением масла	Консервы сельдевые с добавлением масла
115837	4600440000064	Шампанское Российское Надежда бел п/сл 0,75л (Корнет):12	Вино	Вина игристые	Вина игристые белые полусладкие	Россия/Крым вина игристые белые полусладкие
115342	4601033006012	Водка Праздничная 40% 0,5л (Россия) :20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
116595	4600076000117	Коньяк Рос 4 года Стар.Крепость 40% 0,5л(Дербентский КК):6	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
115327	-	Докторская в/с вар.400г:34	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
116206	4606993102989	ЗОЛОТОЙ ПЕТУШОК Кусочки филе в панир0,42кг(Прод пит комб):10	Замороженная продукция	Замороженные полуфабрикаты	Котлеты, наггетсы, палочки	Наггетсы
152861	2310393	БАНАНЫ мини уцененные(цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Бананы	Бананы
111052	4612733710352	Горбуша нат. 240-250г консервы:24	Консервированные продукты	Консервы рыбные	Консервы рыбные натуральные	Консервы лососевые натуральные
116291	4607100040064	Хлеб Ржаной 0,4кг (ООО Славянский хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
116366	-	Паштет Домашний 150г(1шт) (Красн.МК)	Мясная гастрономия	Субпродуктовые изделия	Паштеты	Паштеты
116375	-	Цыпл.бр, цена за кг, Курганинск.	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Тушка курицы замороженная
116787	-	Креветки Сальмон 90/120-500г. 1/8	Рыба	Рыба и морепродукты замороженные	Моллюски и ракообразные замороженные	Ракообразные замороженные
116805	-	Набор для шашлыка (лоток)	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Субпродукты курицы замороженные
115615	-	ПЕПСИ-КОЛА черри 2л. пл/бут. :24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
164446	7930064260016	УКРОП зеленый свеж (цена за шт):6	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Зелень	Укроп
115603	4650001912855	ТЕТЯ ГРУША Напиток газ 0,5л с/б(ЮгПиво):12	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов менее 0,8л
115604	4650001912862	ЛИМОНАДНЫЙ ДЖО Напиток газ 0,5л пл/бут(ЮгПиво):12	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов менее 0,8л
116012	4607104240163	Хл."Столичный"(Х/З №6) под.450г.	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
116018	4607104240071	Слойка Свердловская в/с 0.1(Х/З №6)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
116509	5010677945059	Вермут Мартини Розато роз слад 1л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные красные/розовые	Вина ароматизированные красные/розовые
116823	2360448	Бедро 1кг лот зам (Ставропол бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Бедро куриное замороженное
116824	2398482	Голень 1кг лот зам(Ставропольский бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Голень куриная замороженная
116825	2360453	Филе ЦБ 1кг лот зам (Ставропольский бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Филе куриное замороженное
116826	2360450	Печень ЦБ и кур 1кг лот зам (Ставропольский бройлер):9	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Субпродукты курицы замороженные
116828	2398480	Цып. бройл. 1категории. Поли/уп(Ставропольский Бройлер):14	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Тушка курицы замороженная
152926	4791037518342	ПРИНЦЕССА НУРИ Чай черный Бергамот 25пак*1,5г(Орими):18	Чай	Черный чай	Черный чай пакетированный ароматизированный	Черный чай пакетированный аромат с бергамотом
116122	2394588	БАНАНЫ свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Бананы	Бананы
116123	2094519	ЯБЛОКИ свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
116124	2394590	АПЕЛЬСИНЫ свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Апельсины	Апельсины
116125	2394589	ЛИМОНЫ свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Лимон, лайм	Лимон
116535	4607036321466	Батон нарезной в/с 0,5кг (Ессентуки-Хлеб)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
116536	4607081111654	Батон Русский в/с 0,3кг (Георгиевский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
116556	4601033092015	Водка Старая Москва гуала 40% 0,5л (Россия) :20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
116690	4607029700346	Кефир 2,5% 1л фл/п(Пятигорский МК):14	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
116694	4607029700599	Сметана классическая 20% 0,2кг пл/ст( Пятигорский МК) :12	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
152818	4606338000093	4 СЕЗОНА Шампиньоны резаные 400г (Западный ХК ООО):20	Замороженная продукция	Замороженные грибы	Замороженные шампиньоны	Замороженные шампиньоны
114719	4603877000638	Сыр плавленый Янтарь в плас 60% 100г(Янтарь Воронеж):140	Сыры	Плавленые сыры	Плавленые сыры	Сыры плавленые в сегментах
114909	4603203000233	Молоко паст отборное 3,5% 1кг лин/п(Кропоткинский МК):5	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
114288	2090190144033	Салат ЛОЛЛО Бьонда (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Салат	Салаты прочие виды
114290	2308015	АПЕЛЬСИНЫ фасованные (в):14,5	Свежие фрукты и овощи	Свежие плоды и ягоды	Апельсины	Апельсины
114292	2394519	АНАНАС свежий (цена за 1шт)	Свежие фрукты и овощи	Свежие плоды и ягоды	Ананасы	Ананасы
114774	2090490406819	ФИЕСТА Напиток Лимонад газ 2л ПЭТ(Пепси):6	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
117789	4600823031098	БАБАЕВСКИЙ Батончик с шоколадной начинкой 50г(Б):20/120	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
117959	4607004890673	ALMETTE Сыр творож сливоч 150г(Хохланд):8	Сыры	Мягкие сыры	Мягкие сычужные сыры	Сыр творожный
117960	4607004890680	ALMETTE Сыр творож с зеленью 150г(Хохланд):8	Сыры	Мягкие сыры	Мягкие сычужные сыры	Сыр творожный
327571	14607051880778	ВЕК Гамбургер с куриным мясом 0,23кг (Прод-торг) :12	Замороженная продукция	Замороженные полуфабрикаты	Замороженные кулинарные блюда	Замороженные закуски
117989	054881005999	AHMAD TEA Чай черный Английский№1 пакет 25*2г к/уп(Фудс):12	Чай	Черный чай	Черный чай пакетированный классический	Чай черный пакетированный классический
118037	4600384000151	СУДАРУШКА Шоколад с орехом 100г(Нестле):20/120	Кондитерские изделия	Шоколад	Шоколад плиточный	Шоколад молочный
118051	4601339000905	MAGGI Суп куриный с вермиш.50г:22	Бакалея	Сухие блюда быстрого приготовления	Первые блюда	Супы, требующие варки
118087	-	Фасоль цветная фас.900г:20	Бакалея	Крупы, бобовые	Фасоль	Фасоль красная
118128	4011100977822	KITEKAT Kорм д/кош с печенью 400-420г(Марс):24	Продукция для животных	Корма для кошек	Влажные корма для кошек и котят	Влажные корма для взрослых кошек
118162	4601780002565	MAKFA Мука пшеничная в/с 2кг:6	Бакалея	Мука и мучные смеси	Мука пшеничная	Мука пшеничная
118235	4603476000213	АКСИНЬЯ Минер вода газ 0,5л пл/бут(Аква Дон):12	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные менее 0,8л
119256	8850006330449	COLGATE з/щетка Премьер Ультра сред.:12/72	Уход и гигиена	Уход за зубами и полостью рта	Зубные щетки и насадки	Мануальные зубные щетки
118285	3083680538404	BONDUELLE Горошек зеленый ж/б 200/212мл :12	Консервированные продукты	Консервы овощные и грибные	Горошек	Горошек
169958	2352264	Томаты красные отборные (цена за 1кг)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Томаты свежие	Томаты свежие круглые
